NumCF	Lat	Lon	ColID
we2	31.1880293	-95.9854700	FBH
we1	31.1880293	-95.9854700	FBH
wey	31.1880293	-95.9854700	FBH
we0	31.1880293	-95.9854700	FBH
2qx	33.0557446	-95.0923328	FBH
cms	33.0557446	-95.0923328	FBH
2qd	33.0557446	-95.0923328	FBH
cmq	33.0557446	-95.0923328	FBH
5o0	33.7577215	-94.7138694	FBH
2q5	33.7577215	-94.7138694	FBH
2qk	33.7577215	-94.7138694	FBH
2q1	33.7577215	-94.7138694	FBH
5or	34.9189885	-94.7710628	FBH
ts4	34.9189885	-94.7710628	FBH
jq0	34.7047616	-93.8202431	FBH
5oc	34.7047616	-93.8202431	FBH
5og	34.7047616	-93.8202431	FBH
5ok	34.7047616	-93.8202431	FBH
v3b	34.7047616	-93.8202431	FBH
ts3	34.7047616	-93.8202431	FBH
m0b	35.997901	-94.132350	FBH
m0g	35.997901	-94.132350	FBH
m0u	36.1733942	-94.6684162	FBH
m0s	36.1733942	-94.6684162	FBH
m0o	36.1733942	-94.6684162	FBH
jzg	36.0918341	-94.3672757	FBH
yrt	35.7797803	-94.2500393	FBH
m07	35.8125795	-93.5626867	FBH
m02	35.8125795	-93.5626867	FBH
m04	35.8125795	-93.5626867	FBH
jz6	34.6023230	-90.6439964	FBH
yr3	34.6023230	-90.6439964	FBH
jz9	34.6023230	-90.6439964	FBH
g4v	34.6023230	-90.6439964	FBH
n8l	34.6023230	-90.6439964	FBH
n8k	34.6666257	-89.2215638	FBH
cme	33.2316956	-88.9559574	FBH
cmc	33.2316956	-88.9559574	FBH
16	42.2993457	-71.1226301	FBH
17	42.2993457	-71.1226301	FBH
19	42.2993457	-71.1226301	FBH
20	42.2993457	-71.1226301	FBH
21	42.2993457	-71.1226301	FBH
bwu	36.1156306	-97.0585717	FBH
13	37.4036823	-122.2274030	FBH
11	33.9642576	-117.3398097	FBH
qzb	37.7837185	-79.1958860	FBH
qzv	37.7837185	-79.1958860	FBH
tzq	37.1329849	-76.7258427	FBH
tnh	37.1329849	-76.7258427	FBH
qze	37.158284	-75.965233	FBH
hl0	37.158284	-75.965233	FBH
bwf	37.158284	-75.965233	FBH
brm	38.5196809	-75.4685841	FBH
qzn	38.5196809	-75.4685841	FBH
brx	38.5196809	-75.4685841	FBH
tnw	38.5196809	-75.4685841	FBH
s3x	38.5196809	-75.4685841	FBH
tn8	38.5196809	-75.4685841	FBH
1pv	39.7210375	-75.7709926	FBH
mph	39.5893135	-77.4457408	FBH
pga	39.5893135	-77.4457408	FBH
tnc	39.5893135	-77.4457408	FBH
1pe	39.501312	-77.853174	FBH
tnq	39.501312	-77.853174	FBH
qzl	39.501312	-77.853174	FBH
bru	38.3316131	-80.3106828	FBH
tnm	38.1209822	-81.1215298	FBH
tnp	38.1209822	-81.1215298	FBH
2ic	36.0450570	-96.9425302	FBH
10	39.098970	-108.366986	FBH
